indicator,topic,source
(%) Generosity of In-Kind - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of In-Kind - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of In-Kind - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of In-Kind - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of In-Kind - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of In-Kind - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of In-Kind - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Old Age Contributory,Labor & Social Protection,Global Social Protection
(%) Generosity of Old Age Contributory,Labor & Social Protection ,Global Social Protection
(%) Generosity of Old Age Contributory - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Old Age Contributory - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Old Age Contributory - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Old Age Contributory - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Old Age Contributory - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Old Age Contributory - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Old Age Contributory - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Old Age Contributory - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Old Age Contributory - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Old Age Contributory - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of other SSN,Labor & Social Protection,Global Social Protection
(%) Generosity of other SSN,Labor & Social Protection ,Global Social Protection
(%) Generosity of other SSN - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of other SSN - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of other SSN - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of other SSN - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of other SSN - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of other SSN - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of other SSN - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of other SSN - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of other SSN - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of other SSN - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Private Transfers,Labor & Social Protection,Global Social Protection
(%) Generosity of Private Transfers,Labor & Social Protection ,Global Social Protection
(%) Generosity of Private Transfers - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Private Transfers - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Private Transfers - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Private Transfers - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Private Transfers - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Private Transfers - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Private Transfers - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Private Transfers - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Private Transfers - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Private Transfers - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Public Works,Labor & Social Protection,Global Social Protection
(%) Generosity of Public Works,Labor & Social Protection ,Global Social Protection
(%) Generosity of Public Works - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Public Works - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Public Works - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Public Works - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Public Works - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Public Works - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Public Works - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Public Works - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Public Works - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Public Works - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of School-feeding,Labor & Social Protection,Global Social Protection
(%) Generosity of School-feeding,Labor & Social Protection ,Global Social Protection
(%) Generosity of School-feeding - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of School-feeding - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of School-feeding - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of School-feeding - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of School-feeding - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of School-feeding - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of School-feeding - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of School-feeding - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of School-feeding - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of School-feeding - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Pension,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Pension,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Pension - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Pension - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Pension - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Pension - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Pension - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Pension - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Pension - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Pension - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Pension - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Pension - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Security,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Security,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Security - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Security - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Security - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Security - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Security - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Security - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Security - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Security - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Social Security - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Social Security - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
(%) Generosity of Unemp benefits and ALMP,Labor & Social Protection,World Development Indicators
(%) Generosity of Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
